"Story","Title","Result","Date","Stability","Duration (s)"
"Member Portal Signup Scenario","create account  page","ERROR","2022-08-03T18:06:57.5971408+05:30[Asia/Calcutta]","0.0","516.02"
"Member Portal Signup Scenario","otp verification page","ERROR","2022-08-03T18:15:33.6306237+05:30[Asia/Calcutta]","0.0","6.07"
