"Story","Title","Result","Date","Stability","Duration (s)"
"Member Portal Signup Scenario","create account  page","ERROR","2022-08-03T17:47:52.9209714+05:30[Asia/Calcutta]","0.0","22.23"
"Member Portal Signup Scenario","otp verification page","ERROR","2022-08-03T17:48:15.1753123+05:30[Asia/Calcutta]","0.0","6.07"
