"Story","Title","Result","Date","Stability","Duration (s)"
"Member Portal Signup Scenario","Launch the browser and navigated to signup page","SUCCESS","2022-08-03T18:06:18.5393132+05:30[Asia/Calcutta]","0.0","31.61"
"Member Portal Signup Scenario","verify that the logo is displayed","SUCCESS","2022-08-03T18:06:50.1827832+05:30[Asia/Calcutta]","0.0","1.28"
"Member Portal Signup Scenario","Member detail page","FAILURE","2022-08-03T18:06:51.4765376+05:30[Asia/Calcutta]","0.0","6.11"
"Member Portal Signup Scenario","create account  page","ERROR","2022-08-03T18:06:57.5971408+05:30[Asia/Calcutta]","0.0","516.02"
"Member Portal Signup Scenario","otp verification page","ERROR","2022-08-03T18:15:33.6306237+05:30[Asia/Calcutta]","0.0","6.07"
