"Story","Title","Result","Date","Stability","Duration (s)"
"Member Portal Signup Scenario","Launch the browser and navigated to signup page","SUCCESS","2022-07-12T12:30:46.4587922+05:30[Asia/Calcutta]","0.0","21.75"
"Member Portal Signup Scenario","verify that the logo is displayed","SUCCESS","2022-07-12T12:31:08.228803+05:30[Asia/Calcutta]","0.0","2.07"
"Member Portal Signup Scenario","Member detail page","SUCCESS","2022-07-12T12:31:10.309162+05:30[Asia/Calcutta]","0.0","5.64"
"Member Portal Signup Scenario","create account  page","SUCCESS","2022-07-12T12:31:15.9581924+05:30[Asia/Calcutta]","0.0","15.12"
"Member Portal Signup Scenario","otp verification page","SUCCESS","2022-07-12T12:31:31.112085+05:30[Asia/Calcutta]","0.0","11.79"
